Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Benin,BEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,20000,1480000,3750000,4260000,18070000,17880000,14920000,16270000,13140000,13140000,14740000,28980000,20040000,26480000,33070000,54110000,50750000,48820000,60340000,84610000,88230000,81240000,79700000,84930000,75030000,93910000,134670000,133700000,157970000,267870000,266880000,265660000,269040000,287760000,256380000,280560000,288290000,221150000,205230000,212440000,244770000,280420000,221540000,301990000,391790000,349080000,400310000,475290000,636720000,677560000,689270000,672610000,507880000,660200000,599320000,430140000,493120000,675840000,..,..
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,316461815.286287,389032877.086258,480743370.631137,531275465.55523,642502230.773568,654058673.498541,705586477.95796,868880911.892235,1110004362.73831,1310096206.71383,1207859298.17738,1162206868.13957,988987391.802035,925793719.578849,932540057.722068,1206521231.60377,1395494494.71236,1457405656.54941,1320323617.30919,1729356227.25573,1757544398.25021,1441740300.60638,1968778849.89879,1338230676.15785,1823738416.96292,1959190064.50414,1874140198.89538,2041742285.89934,2251408170.1758,2167135020.11253,2267266758.94199,2590263875.24647,3314197385.70007,3860219657.14277,4130191341.39092,4388580865.45592,5058095422.50889,6066146308.34707,5982247042.79303,5862986055.78845,6595986476.98556,6831875771.67194,7662100269.38289,8117977829.41299,6896209255.9265,7141863203.78758,7674482533.80212,..,..
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,1.04143567170696,3.78056113597356,2.54904113249346,-0.363671982972079,2.05762045820276,1.13666559869712,0.141072430955759,3.27352495192123,3.4541955220696,5.04704694041136,1.57328377445441,5.31722607761745,4.822739941858,14.9207099039566,14.2469357591905,14.035430018199,5.17688681539887,12.3344589512908,13.0046858312197,10.187819853439,7.46894826557292,16.1482840146863,4.74620974218689,1.9535809587033,-4.87698173501849,-3.60417258232943,3.02845984959575,-0.610506906538177,2.2249344566786,2.17659692492957,0.756620152258364,3.0251344657084,2.3783218214884,35.0301127836084,15.0994519109214,6.90729366475551,3.66750917264034,5.23160474787542,8.5432604894055,4.33806500728492,1.97207910850999,3.55310687839649,3.06386771008896,0.770195489779255,4.29380521704674,2.09166862858341,0.390494254155982,6.43806857942617,2.53020605021086,0.884971820845109,3.73387752539995,7.69269660821384,1.40667989004544,-0.248640138745643,0.0757471376386718,-0.279995285501528,0.0317074176629149,-0.00583222754814017,..
Benin,BEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,7.11205157750949,7.48998201243852,7.65356385811205,6.86885768588297,6.77217297409502,6.91615373065622,6.95293053067904,8.92866452376004,7.86416666066444,8.36507885999262,9.57985150083338,10.2917656772107,10.5102304866057,20.3313062353027,17.8566079293243,17.0828996652925,19.1685100531736,18.5921991775979,23.5149102139222,19.5030204439177,27.7760442670652,31.7012460807891,28.6283467373391,32.1258177128909,30.374085588136,29.118625479641,29.8484993383077,21.0561464849025,21.0684174128574,13.9468946818933,12.6506610407041,8.64178165274591,10.9358113725993,10.8691873210178,10.1323371544108,7.04243598198624,6.53825576630022,6.03299559205362,7.35893833369779,3.29191000965568,3.24657479139177,8.17298571364609,7.88707073167445,10.0820040793799,9.72881057607635,8.7100672970697,13.3754363225329,19.0101410859837,18.6292371169474,21.7661835151617,20.0090459120145,20.9659260719916,22.7565556019852,22.9208587550498,26.4118693108681,28.3664938312284,26.9585214712877,..
Benin,BEN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.8,..,..,..,..,..,..,..,53.1,..,..,..,49.5,..,..,..,..
Benin,BEN,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,..,..,..,..,..,..,..,..,..,..,..,44.6819114685059,48.9078903198242,57.9079399108887,47.7817115783691,64.7532119750977,55.7053413391113,63.7013816833496,61.1962394714355,84.0490570068359,64.3164596557617,76.2336196899414,75.0821914672852,68.0899810791016,67.662971496582,68.630500793457,66.3501968383789,73.0722808837891,70.9499130249023,69.453742980957,72.3897399902344,79.2529830932617,73.2996673583984,77.7118225097656,71.4415435791016,76.0742568969727,77.4217910766602,77.663200378418,88.228401184082,..,99.73154,101.96428,103.97576,103.19863,107.57535,107.28887,120.77007,..,158.581,..,146.6023,146.5408,156.1805,154.9623,157.4145,161.9645,158.6905,149.9229,146.9201,..
Benin,BEN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,..,..,19,..,..,..,22.4,..,..,..,..
Benin,BEN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,..
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,6700000,2800000,4800000,3500000,-2343120.32888629,1889760.24940719,2452390.82596359,3126021.57196209,753359.561873314,3568043.12335903,4316555.84568938,2090299.06059477,-12172.6229100822,10496.868316392,11442.7822973772,-90000,1100000,100000,-1.86264514923096E-09,62096190.0734222,62376777.1352232,120780806.62353,77571726.5958986,1403787.18368037,13648839.8950778,13329502.1175034,35517375.9810328,27015294.5261156,37952254.6845812,39264307.4264209,-12763065.7457853,16724905.8293049,-19304487.4077906,10614240.6548008,-40701529.9726062,-8785364.69529622,-12352499.8489782,139006086.840239,48016408.3225725,-18732013.5573172,53454932.9907285,161091309.01743,281564661.094923,360240965.326816,405197656.01573,149695382.069113,131701389.44972,200406480.304636,207510854.998,..
Angola,AGO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,-50000,23550000,..,30000,..,1110000,2860000,18180000,10000,-110000,-30000,..,90000,160000,370000,4760000,17480000,47500000,46870000,47060000,52440000,60220000,59070000,73880000,93410000,90490000,130250000,134430000,157030000,167060000,265770000,277080000,343590000,289390000,447070000,416420000,459310000,354660000,335270000,387540000,302210000,282730000,414030000,493500000,1144570000,414680000,163520000,259980000,369040000,238940000,235170000,192940000,243610000,285540000,235390000,380060000,206530000,223220000,..,..
