Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Benin,BEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,20000,1480000,3750000,4260000,18070000,17880000,14920000,16270000,13140000,13140000,14740000,28980000,20040000,26480000,33070000,54110000,50750000,48820000,60340000,84610000,88230000,81240000,79700000,84930000,75030000,93910000,134670000,133700000,157970000,267870000,266880000,265660000,269040000,287760000,256380000,280560000,288290000,221150000,205230000,212440000,244770000,280420000,221540000,301990000,391790000,349080000,400310000,475290000,636720000,677560000,689270000,672610000,507880000,660200000,599320000,430140000,493120000,675840000,..,..
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,2.008226185,0.835638863,1.16978475,0.693926704,-0.422446607,0.279190961,0.351140017,0.416775236,0.081107282,0.300788154,0.307173179,0.161898129,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329041,0.00640036,-1.15E-16,4.133423489,3.182545065,6.080271075,4.575651876,0.061716924,0.85407956,0.614368303,1.504261846,1.190992206,1.545858391,1.45975477,-0.496774564,0.624013838,-0.631986845,0.271786054,-0.900192566,-0.182887348,-0.240209747,2.328591486,0.67317874,-0.263935312,0.766154804,2.058853706,3.453896148,3.932779308,4.168544653,1.804756746,1.535163003,2.161976698,2.004108084,..
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,316461815.3,389032877.1,480743370.6,531275465.6,642502230.8,654058673.5,705586478,868880911.9,1110004363,1310096207,1207859298,1162206868,988987391.8,925793719.6,932540057.7,1206521232,1395494495,1457405657,1320323617,1729356227,1757544398,1441740301,1968778850,1338230676,1823738417,1959190065,1874140199,2041742286,2251408170,2167135020,2267266759,2590263875,3314197386,3860219657,4130191341,4388580865,5058095423,6066146308,5982247043,5862986056,6595986477,6831875772,7662100269,8117977829,6896209256,7141863204,7674482534,..,..
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,1.041435672,3.780561136,2.549041132,-0.363671983,2.057620458,1.136665599,0.141072431,3.273524952,3.454195522,5.04704694,1.573283774,5.317226078,4.822739942,14.9207099,14.24693576,14.03543002,5.176886815,12.33445895,13.00468583,10.18781985,7.468948266,16.14828401,4.746209742,1.953580959,-4.876981735,-3.604172582,3.02845985,-0.610506907,2.224934457,2.176596925,0.756620152,3.025134466,2.378321821,35.03011278,15.09945191,6.907293665,3.667509173,5.231604748,8.543260489,4.338065007,1.972079109,3.553106878,3.06386771,0.77019549,4.293805217,2.091668629,0.390494254,6.438068579,2.53020605,0.884971821,3.733877525,7.692696608,1.40667989,-0.248640139,0.075747138,-0.279995286,0.031707418,-0.005832228,..
Benin,BEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,7.112051578,7.489982012,7.653563858,6.868857686,6.772172974,6.916153731,6.952930531,8.928664524,7.864166661,8.36507886,9.579851501,10.29176568,10.51023049,20.33130624,17.85660793,17.08289967,19.16851005,18.59219918,23.51491021,19.50302044,27.77604427,31.70124608,28.62834674,32.12581771,30.37408559,29.11862548,29.84849934,21.05614648,21.06841741,13.94689468,12.65066104,8.641781653,10.93581137,10.86918732,10.13233715,7.042435982,6.538255766,6.032995592,7.358938334,3.29191001,3.246574791,8.172985714,7.887070732,10.08200408,9.728810576,8.710067297,13.37543632,19.01014109,18.62923712,21.76618352,20.00904591,20.96592607,22.7565556,22.92085876,26.41186931,28.36649383,26.95852147,..
Benin,BEN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.8,..,..,..,..,..,..,..,53.1,..,..,..,49.5,..,..,..,..
Benin,BEN,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,..,..,..,..,..,..,..,..,..,..,..,44.68191147,48.90789032,57.90793991,47.78171158,64.75321198,55.70534134,63.70138168,61.19623947,84.04905701,64.31645966,76.23361969,75.08219147,68.08998108,67.6629715,68.63050079,66.35019684,73.07228088,70.94991302,69.45374298,72.38973999,79.25298309,73.29966736,77.71182251,71.44154358,76.0742569,77.42179108,77.66320038,88.22840118,..,99.73154,101.96428,103.97576,103.19863,107.57535,107.28887,120.77007,..,158.581,..,146.6023,146.5408,156.1805,154.9623,157.4145,161.9645,158.6905,149.9229,146.9201,..
Benin,BEN,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,..,..,19,..,..,..,22.4,..,..,..,..
Benin,BEN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,..
Angola,AGO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,-50000,23550000,..,30000,..,1110000,2860000,18180000,10000,-110000,-30000,..,90000,160000,370000,4760000,17480000,47500000,46870000,47060000,52440000,60220000,59070000,73880000,93410000,90490000,130250000,134430000,157030000,167060000,265770000,277080000,343590000,289390000,447070000,416420000,459310000,354660000,335270000,387540000,302210000,282730000,414030000,493500000,1144570000,414680000,163520000,259980000,369040000,238940000,235170000,192940000,243610000,285540000,235390000,380060000,206530000,223220000,..,..
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.630975104,0.883706872,2.086485073,1.803662496,1.095005676,3.680383595,3.308793892,1.472066849,1.493856279,1.960573064,-2.981627998,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.398993967,5.382318076,17.12159065,40.16725096,9.62386631,24.00911706,11.40619007,20.08101364,9.329241384,-3.526655479,-0.072001021,-1.368761628,1.896315051,3.136662133,-3.851110464,-2.704874717,-1.143768334,-5.208122718,2.510095009,8.630605234,-0.17752253,-6.057209206,-5.420744964,..
Angola,AGO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4125183408,4556235217,3794091646,3610663862,6046474022,5202214240,6493848989,-233696235.6,225747975.2,-506251987.9,1246379118,1110001839,1961627543,2592257959,671130909.6,71003569.67,1851227522,6268430256,7919158465,8267704885,10959280484,17266696198,17136021298,7966524444,16556570078,25886631726,36191489624,44936508119,54993875952,67319475745,65290177866,56217308967,64054513749,..,..
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.100306165,0,0.01276356,0.001188112,19.03520574,-9.01306192,9.823311352,2.213774449,16.27966269,14.00743982,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,31.6891692,31.77154279,7.255710281,2.839744164,3.560822793,-3.51839026,21.77429951,22.61450476,34.84487207,..
Angola,AGO,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.6686155,4.774446094,10.02726789,17.56950554,7.219948856,-14.75543543,-0.319143226,4.091321311,5.278390304,5.616807919,1.879179445,-3.99577315,1.735301577,8.984281912,31.33693226,18.96116788,15.49762777,13.94773873,17.13938799,21.05486515,27.39154706,27.33495133,29.61263029,23.59451666,..
Angola,AGO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.3,..,..,..,..,..,..,..,30.1,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129.839798,117.9168625,..,..,..,..,..,..,..,..,55.5195694,..,..,..,..,..,..,70.35428619,..,..,..,..,..,..,..,..,..,137.4107,135.71212,138.0258,156.7682,..,..,..,..,..,..,..,..
Angola,AGO,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6,..,..,..,..,..,..,..,9.6,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,..,..,..,..,..,..
Burundi,BDI,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,7530000,7190000,11070000,6160000,8090000,4860000,8930000,10410000,12970000,14930000,17670000,21680000,25760000,26860000,37350000,47470000,43800000,47640000,73910000,94340000,115950000,120650000,125400000,137610000,137670000,137160000,191310000,196620000,200500000,206240000,262550000,256400000,309280000,216950000,311110000,286950000,110520000,56400000,68750000,75100000,93310000,139250000,171910000,227600000,358820000,365580000,432020000,504550000,520430000,575750000,627610000,572240000,524170000,558830000,515400000,366540000,742470000,428410000,..,..
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,1.15E-05,1.03E-05,0.223771014,0.029534344,1.342183252,-0.001304856,..,..,0.004882857,0.052340423,0.002481106,0.036885808,0.23781629,0.019557301,0.038411912,0.150056708,0.025925408,4.761214324,3.021202699,1.598471459,0.001872536,0.009976175,0.032392796,..
Burundi,BDI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,713178533.9,758964442.2,755160027.6,844517106.1,761387534.6,892805766.9,901583683.7,825241394.9,785335696.8,807481251.5,798680161.4,839404522.9,761858396.1,657384898,623453808.1,603604633,479230069,584789594,515240880.9,552425494.3,620121642.6,567028258.3,488480664.8,333061790.7,469729697.1,626774120.5,779088306.2,721766006.5,856297534.6,1004876299,1293093262,1396141671,1650700406,1743136674,1930721791,2262303573,2121677919,2297326308,..,..
Burundi,BDI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,20.07743634,-3.567416454,4.687149302,5.417217573,-1.029363778,3.152033961,-5.317986172,3.05681315,5.361879836,5.184511807,1.380218947,4.29080997,5.510442472,12.45517764,21.08690579,8.074948246,14.30412561,12.50770522,26.13070761,16.38402436,-6.063315087,5.672021548,6.428548803,17.21619499,5.068838976,-4.257414237,-3.417795078,3.4912227,14.75718482,5.985561541,4.093140793,5.4017607,7.742645676,6.638445456,16.10271174,14.45311141,32.39778923,11.450556,14.95414026,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586,14.29243968,7.955459176,5.30485357,21.33404254,0.96047019,11.44917292,-2.850857066,..
Burundi,BDI,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,7.639501204,4.144552448,5.588405957,7.667457214,9.07922645,8.983356366,7.97679751,8.155507442,8.825027552,9.110617489,12.6298755,7.068504224,6.89297645,4.339850076,11.13194939,14.68987443,13.59788053,18.75669329,19.44730782,21.40227304,18.75180882,18.01197484,17.62603771,17.70843467,19.6500487,16.95048743,16.82857261,18.14245533,16.445612,16.66485314,18.91776915,15.98171046,21.1395287,19.94317386,22.27941029,26.1719148,21.61082842,23.81198185,26.28230051,26.31968063,25.62736354,23.36314519,28.5762501,23.81650197,19.76572609,22.72933399,26.64334177,29.61113432,28.8342301,27.22737574,29.365056,30.45275486,35.68289076,36.20372984,43.45013607,..
Burundi,BDI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.1,..,..,..,..,..,84.1,..,..,..,..,..,..,..,77.7,..,..,..,..,..,..,71.8,..,..,..,..,..,..
Burundi,BDI,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,..,..,..,..,..,..,..,..,..,..,..,34.86978912,..,19.95129013,17.79380035,20.14616013,21.54501915,22.56369972,24.50807953,23.27552986,26.24510002,27.63171005,30.92274094,59.79647064,55.10641861,56.35945892,58.71187973,68.16690063,78.24698639,63.00983047,62.7455101,65.39122009,55.47660828,57.6013298,..,..,..,..,..,..,64.37647,70.59347,75.91968,79.84533,87.20141,85.15803,167.23137,144.21236,127.05873,128.09547,133.8627,135.3317,131.5995,129.8626,132.5444,138.9454,139.5096,126.3799,128.0554,..
Burundi,BDI,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.8,..,..,..,..,..,44.8,..,..,..,..,..,..,..,32.9,..,..,..,..,..,..,30.4,..,..,..,..,..,..
Burundi,BDI,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.5,2.4,2.3,2.3,..
Botswana,BWA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,3430000,5460000,5240000,5330000,8870000,10300000,17880000,18260000,16740000,13360000,14200000,17650000,31410000,36070000,36450000,50940000,47380000,47250000,68770000,99410000,105270000,96470000,101140000,103120000,101930000,95620000,100660000,154840000,149800000,157940000,145220000,131070000,111260000,129900000,85180000,89660000,74570000,121620000,106250000,60890000,30620000,28930000,37310000,28050000,46610000,48270000,66610000,105070000,723100000,282350000,154670000,118500000,73070000,107370000,99370000,65540000,90570000,102050000,..,..
Botswana,BWA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-10.77468316,3.029488242,2.70887401,6.913131204,15.59400595,10.51448807,8.235571501,2.076534659,2.029737944,5.009258402,4.809249962,5.055481313,5.779523019,1.509584743,1.367987666,2.529699692,-0.20826592,-0.037722892,-6.897679919,-0.332319066,1.488459308,1.468356845,1.994132797,1.989749587,0.668733486,0.987699683,0.558882745,7.501536088,5.565284413,4.36383784,4.23771954,4.808086327,4.521739635,4.759384717,2.032694156,1.707877432,8.93102009,3.378350767,2.673890846,3.170218404,2.625089598,0.780776308,1.017574004,1.228610113,..
Botswana,BWA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,853415522.7,951974126.5,890060868.6,966215866.9,974040121.8,884379394.2,1118843132,1497072656,2047814239,2379415566,3200448386,3475804828,3695461538,3877492042,3448092738,4010806635,3920946353,4235557850,4327405840,4607346307,4763630210,4785738276,4115436845,5372314116,6221688044,7199993220,7087964260,7613684216,7644005905,7108135151,9237589338,12365635822,11486948335,11198258964,12362689032,11161876659,11830611346,13119551416,..,..
Botswana,BWA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,1.933946527,1.360735324,1.176826763,2.547498874,3.846275629,5.788742008,7.581551072,2.166149449,1.584355256,5.978593381,4.664180023,10.77542219,9.906612342,12.79692414,16.46728186,11.31552988,4.93738331,12.46681136,21.85636174,10.19028253,-0.088322838,3.695418373,8.745485397,15.42698507,22.89365943,14.06124987,12.69406983,22.69705957,13.64877726,6.300018284,5.177710042,6.63928073,13.06470039,9.46380484,7.15529484,16.11219538,4.990608474,9.967270935,14.23520845,14.17096689,8.312825089,1.187370705,3.25908433,10.07878862,15.47170656,7.473131023,4.9276071,4.72939345,6.462525782,8.919999829,13.95812587,0.193771801,2.309119111,11.9038631,1.865336494,11.95320436,2.608920493,0.927813749,..
Botswana,BWA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.494590417,8.528073636,3.57337151,1.250673451,1.31671821,9.627712855,5.109803359,0.460395847,-6.795568108,-18.37949975,-36.77137071,-45.58327019,-40.51160098,-40.01561104,-45.59047693,-40.61499859,-42.19081151,-40.33965242,-42.62632711,-35.84702079,-33.79735524,-73.66025382,-79.09235329,-63.38254197,-65.68353826,-70.37794965,-28.73400748,-6.765731226,0.36272401,-5.471719716,-14.91676219,-18.44062802,-13.69514069,-1.113716468,10.86694786,7.983899376,15.00659244,12.93742462,8.296003655,12.41431852,16.06124106,17.05283097,19.76943171,..
Botswana,BWA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.6,..,..,..,..,..,..,..,34.8,..,..,..,..,..,..,..,..,29.8,..,..,..,..,..,..,18.2,..,..,..,..,..,16.1,..,..,..,..
